id,employee,task,progress,percent,blockers,startTime,endTime,status,date,nextStrategy
0a1019e7-8667-4326-b5ab-c1f1bd7ed533,Digital Marketing & IT,Setting jadwal upload 13 website Hafara,Completed,100,,9:00,10:00,Selesai,2026-06-03,
01698a36-f082-43ec-a12c-7335c6e97590,Content Creative,setor 4 ide konten ,2 ide teks edukasi & 2 ide motivasi,100,masih diskusi untuk pembagian jenis konten dengan badar,9:00,11:00,Selesai,2026-06-04,
5688adaf-b1e2-4693-b6c1-a1772729b1e2,Content Creative,"Editing video 10 detik ""5 alasan orang biasa bisa mengalahkan mahasiswa cumlaude""",Sudah jadi,100,Belum di acc,11:00,13:00,Selesai,2026-06-04,
76597941-72b7-44fe-b332-f74b930b58b4,Content Creative,"Desain 1 carousel & 1 konten video 10 detik ""4 kebohongan karier yang masih dipercaya mahasiswa""","Carousel done 5 slide, video 10 detik sudah upload di drive tinggal nunggu acc",100,belum di acc,13:00,15:00,Selesai,2026-06-04,
36e912c9-1b2f-4094-84a6-75d535dc07f8,Assistant Trainer,Pembuatan thumbnail dan caption konten,"Mencari 5 ide konten reels motivasi, mencoba beberapa fungsi aplikasi, serta memberikan masukan untuk pengembangan fitur website.",80,Belum dapat memproduksi video karena fokus pada pengembangan website.,9:00,11:00,Selesai,2026-06-04,
0549f256-a755-46d0-b32f-3e14df355e61,Assistant Trainer,Pembuatan thumbnail dan caption konten,"Menyelesaikan 3 thumbnail dan 3 caption untuk konten Bos Pilih Kasih, Clip Motivasi Luwuk, dan Gen Z Bukan Tidak Mau Bekerja.",100,,11:00,13:00,Selesai,2026-06-04,
42222ca3-c57a-40be-a70d-76a3ad46ac18,Assistant Trainer,Editing video & scheduling konten,"Menyelesaikan editing 2 video motivasi, melakukan scheduling konten untuk tayang pukul 16.00 dan 20.00.",100,,13:00,15:00,Selesai,2026-06-04,
154996ce-87b3-424d-a083-6f7288d20d93,Assistant Trainer,"Input KPI, Work Log, dan Evaluasi Harian","Mengisi Daily Task, KPI, dan Work Log. Melakukan evaluasi terhadap pekerjaan yang telah dikerjakan dari pukul 09.00–15.00 serta mengidentifikasi hambatan yang terjadi selama proses kerja.",100,Belum sempat memproduksi video karena masih fokus pada pengembangan website dan penyempurnaan fitur yang sedang dikerjakan.,15:00,16:00,Selesai,2026-06-04,
1e7cb45f-7c22-4672-9a79-ea91d02e4689,Assistant Trainer,[SIMULASI] Optimasi & Publish Konten Edukasi Harian,Selesai memproduksi & mengunggah 1 konten reels edukasi bertema komunikasi,100,,9:00,11:00,Selesai,2026-06-05,Lanjutkan memantau metrik performa reels dalam 24 jam ke depan.
85b21290-3ccf-4e9e-9151-9ae4696c526f,Content Creative,setor 5 ide konten,3 konten humor & 2 konten teks edukasi 10 detik,100,,9:00,17:00,Selesai,2026-06-05,
78f91981-f84b-479b-bebb-308f17b568b5,Project Manager,Fokus input data ke web baru,input complete,100,,9:00,17:00,Selesai,2026-06-04,
359fdcfd-67cc-42ad-a378-5ad9db615f2d,Project Manager,"Fokus input data finance, FU 3 client baru, koordinasi dengan coach tino mengenai client fun games, membuat surat penawaran fun games","surat penawaran complete, input finance complete",100,,9:00,17:00,Selesai,2026-06-05,
