id,category,idea,script,caption,editingStatus,publishStatus,link,metrics,date,views,likes,shares,reposts,comments
0edd37d8-ddd7-4bbd-a7bc-d5e1c79f18f8,Instagram M. Aqil Baihaqi,Video quote tentang motivasi juga bisa nervous,video pak aqil sebelum perform dan melihatkan rasa grogi,,Selesai,Published,https://www.instagram.com/p/DZE9l-duUeB/,1820,2026-06-03,1820,41,1,,
50031f37-d4e5-4441-838f-62eb11984c38,Instagram M. Aqil Baihaqi,konten collab bersama cak sarip ,"membahas tentang Menerima omongan orang lain itu penting.

Tapi jangan langsung percaya semua omongan yang belum jelas faktanya
Kadang baru denger cerita setengah,udah mikir ke mana-mana.",#aqilbaihaqi #cakukil #caksarip #comedy #motivasi,Selesai,Published,https://www.instagram.com/p/DZHfUjWuLOf/,1394,2026-06-03,1000,100,2,5,8
357eb7fa-a738-408b-8084-e3655e478b1a,Instagram M. Aqil Baihaqi,Motivasi vlog pak aqil membahas tentang Gen z sebenarnya tidak malas bekerja,dimulai pak aqil merekam sambil jalan (mini vlog) menjelaskan fenomena gen z sebenarya ga malas bekerja tapi lebih ke mikir apa manfaat untuk dirinya,"Banyak yang bilang Gen Z malas kerja.

Padahal Mereka tidal malas,
mereka hanya tidak ingin tekanan yang tidak masuk akal.

Menurut kalian, yang harus berubah siapa: Gen Z atau perusahaannya?

#GenZ #DuniaKerja #AqilBaihaqi #MotivatorIndonesia #CareerGrowth #WorkLifeBalance",Selesai,Published,https://drive.google.com/file/d/1hNQHMd87rp82ihYps4aBb__olAJbw9KA/view?usp=drive_link,984,2026-06-04,984,29,1,1,8
ff5e407c-6bec-433b-b5f9-f350df06068d,Instagram M. Aqil Baihaqi,5 Alasan Orang Biasa Bisa Mengalahkan Mahasiswa Cumlaude,,"Dulu banyak orang berpikir bahwa IPK tinggi adalah jaminan sukses. 
Padahal di dunia kerja, ada faktor lain yang sering lebih menentukan.

Ini  5 alasan kenapa mahasiswa biasa bisa mengalahkan mahasiswa cumlaude

1. Lebih berani mengambil kesempatan
Banyak orang berkembang bukan karena paling pintar, tetapi karena berani mencoba hal baru meski belum merasa siap. 
Kesempatan sering datang kepada mereka yang bergerak, bukan yang menunggu sempurna.

2. Lebih aktif membangun relasi
Karier adalah kombinasi antara kompetensi dan koneksi. 
Relasi yang baik membuka akses pada informasi, peluang, dan pengalaman yang mungkin tidak ditemukan di ruang kelas.

3. Lebih cepat belajar dari kesalahan
Orang yang takut salah cenderung lambat berkembang. 
Sebaliknya, mereka yang mampu mengevaluasi kesalahan dan memperbaikinya biasanya memiliki kurva belajar yang lebih cepat.

4. Lebih mudah beradaptasi
Dunia kerja berubah sangat cepat. 
Kemampuan menyesuaikan diri dengan teknologi, sistem, dan lingkungan baru sering kali lebih berharga daripada sekadar menguasai teori.

5. Tidak menunggu sempurna untuk mulai
Banyak peluang hilang karena terlalu banyak berpikir. 
Orang yang mau memulai, belajar sambil jalan, dan terus memperbaiki diri biasanya memiliki pengalaman lebih banyak dibanding mereka yang hanya mempersiapkan diri.",Editing,Published,https://drive.google.com/file/d/1a5CRqAEk1skiJHOvZI3tW6HxDxFlUXUN/view?usp=drivesdk,,2026-06-08,,,,,
816e7d10-4858-4af8-b008-b6da996aa3cf,Hafara Group,Promosi Soft Selling ,"TRAINING: INVESTASI ATAU FORMALITAS?

Poin Pendukung : Banyak training selesai, peserta hadir, tetapi implementasi minim. Jadi masalahnya ada pada training atau metodenya? 

Bagian Promosi (inti soft selling):
Kenapa harus memilih Hafara Group ? 
- Metode interaktif & aplikatif
- Didampingi trainer berpengalaman
- Fokus pada implementasi, bukan hanya teori
- Materi disesuaikan dengan kebutuhan peserta

CTA (Footer Poster):
Konsultasi Sekarang  📩","Training itu investasi atau formalitas?
Karena hasil training bukan diukur dari banyaknya peserta, tapi dari perubahan yang terjadi setelahnya.",Selesai,Published,https://www.instagram.com/p/DZKCNjjvDNr/,,2024-06-04,64,3,,,
3074cf72-6fae-458e-8f3e-9c292a79be46,Instagram M. Aqil Baihaqi,4 Kebohongan Karier yang Masih Dipercaya Mahasiswa,,"Banyak mahasiswa menganggap bahwa berkarir itu sesederhana belajar rajin, nilai bagus, lalu sukses. Padahal dunia karier tidak sesederhana itu.

Ini dia 4 kebohongan karier yang terlalu sering dipercaya mahasiswa

1. Kerja keras pasti dihargai
Kerja keras itu penting, tapi kalau hasil dan dampaknya tidak terlihat, orang lain belum tentu menyadarinya. 
Selain bekerja dengan baik, kamu juga perlu mampu mengomunikasikan kontribusimu.

2. Orang pintar pasti sukses
Kepintaran memang membantu, tetapi kesuksesan karier juga dipengaruhi kemampuan beradaptasi, bekerja sama, berkomunikasi, dan menyelesaikan masalah. Dunia kerja adalah permainan tim, bukan ujian individu.

3. Networking itu cari muka
Networking bukan menjilat atau mencari keuntungan pribadi. 
Networking adalah membangun hubungan profesional yang sehat, saling belajar, dan saling membantu. 
Banyak peluang karier lahir dari hubungan yang dibangun jauh sebelum peluang itu muncul.

4. Kesempatan datang kepada yang sabar menunggu
Realitanya, kesempatan lebih sering datang kepada mereka yang aktif mencari, mencoba, dan memperkenalkan diri. 
Menunggu memang nyaman, tetapi bertindaklah yang membuat peluang menemukanmu.",Selesai,Published,https://drive.google.com/file/d/185btuAieQfVmxv16uVzN7FJDhXWK3aRP/view?usp=drivesdk,3096,2026-06-04,3096,53,9,3,
fad933b5-6c1a-4278-a859-a901dbaa6b48,TikTok Aqil Baihaqi,"Carousel : Belajar Dari Benang Kusut, Tidak Semua Masalah Harus Dipotong",,,Selesai,Published,https://canva.link/cjsmsqr0lbs8nmk,,2026-06-05,,,,,
b0ea6a00-bccd-47de-8944-a3ed4967651d,Instagram M. Aqil Baihaqi,Motivasi membahas tentang karyawan yang suka cari muka didepan atasannya,untuk isi nya dimulai dari pertanyaan tentang karyawan suka cari muka lalu pak aqil menjelaskan dikemas dengan humor2 tipis agar video tidak monoton,"Jangan panik kalau temenmu suka cari muka ke atasan, kamu cuma perlu fokus ningkatin kualitas dirimu tanpa perlu validasi berlebihan",Selesai,Published,https://www.instagram.com/reel/DZceC_FJ7Fi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,2026-06-11,890,8,0,1,2
e7fd56f5-f58e-4885-b8c9-8673f2772106,Instagram M. Aqil Baihaqi,Kesalahan terbesar banyak orang adalah… berusaha menyenangkan semua orang.,"Inti dari pembahasan ini adalah kita tidak akan pernah bisa menyenangkan semua orang. 
Seberapa baik pun sikap kita, pasti tetap akan ada orang yang menganggap kita baik, dan ada juga yang menilai kita buruk. 
Itu terjadi karena setiap orang melihat dari sudut pandang, pengalaman, dan ekspektasi yang berbeda-beda. 
Kesalahan terbesar banyak orang adalah terlalu sibuk mencari validasi dan berusaha diterima oleh semua orang, 
sampai akhirnya kehilangan diri sendiri dan merasa lelah secara mental. Padahal yang paling penting bukan membuat semua orang suka, 
tetapi tetap menjadi pribadi yang tulus, punya prinsip, dan menjalani hidup sesuai nilai yang kita yakini tanpa harus memaksa semua orang memahami kita.

CTA : 
Menurut kalian, lebih penting jadi diri sendiri atau disukai semua orang?",#Aqil baihaqi #Motivasi #Kebahagiaan #mindset,Draft,Belum Publish,,,2026-06-11,0,0,0,0,0
9d0f7b77-0884-4f6e-99e4-f4f02e9c0ba3,Hafara Group,5 TANDA TIM KAMU BUTUH TRAINING,1. Produktivitas tim stagnan : Penambahan SDM tidak selalu meningkatkan performa. Masalah utama sering kali ada pada sistem kerja dan pengembangan skill tim. 2. Komunikasi antar divisi tidak efektif : Komunikasi tim yang kurang efektif sering menjadi penghambat produktivitas dan sinergi antar anggota tim. 3. Motivasi karyawan rendah : Kemampuan tinggi perlu didukung motivasi yang kuat agar performa kerja tetap optimal dan konsisten. 4. Leader belum bisa gerakkan tim : Leadership bukan bakat tapi ini skill yang dilatih. Tim yang dipimpin dengan baik bisa 2–3x lebih produktif. 5. Target perusahaan terus meleset : Bukan hanya strategi namun kapasitas tim yang menjalankannya juga harus diasah agar target tercapai. ,"Yuk, intip tanda-tanda tim kamu harus ikut training",Selesai,Published,https://www.instagram.com/p/DZKcdIcj3SA/?img_index=1,,2026-06-04,71,4,0,0,0
823228f1-69c5-44c3-951e-8c82b4a8d4c0,Hafara Group,"OMZET NAIK, TAPI TIM TIDAK BERKEMBANG. Apa penyebabnya ??","Slide 1 :
FOKUS PADA TARGET, LUPA MENGEMBANGKAN ORANG
Banyak perusahaan mengejar angka penjualan dan pertumbuhan bisnis. Namun pengembangan SDM sering dianggap sebagai biaya, bukan investasi. Akibatnya bisnis tumbuh lebih cepat daripada kemampuan tim.

SLIDE 2 :
KARYAWAN SIBUK BEKERJA, TAPI JARANG BELAJAR
Rutinitas pekerjaan yang padat membuat pengembangan kompetensi terabaikan. Padahal dunia bisnis terus berubah dan menuntut kemampuan baru.

SLIDE 3 : 
TIDAK ADA JALUR PENGEMBANGAN YANG JELAS
Karyawan tidak tahu keterampilan apa yang harus ditingkatkan. Mereka bekerja setiap hari, tetapi tidak melihat arah pertumbuhan kariernya.

SLIDE 4 : 
PEMIMPIN FOKUS MENGAWASI, BUKAN MEMBINA
Tim yang hanya diawasi akan bekerja sesuai instruksi.
Tim yang dibina akan belajar berpikir, berinisiatif, dan menyelesaikan masalah secara mandiri.

SLIDE 5 :
DAMPAKNYA BAGI BISNIS

• Owner semakin kewalahan
• Produktivitas sulit meningkat
• Regenerasi pemimpin terhambat
• Karyawan mudah bergantung
• Bisnis sulit scale up

SLIDE 6 : 

BISNIS YANG BERTUMBUH MEMBUTUHKAN TIM YANG IKUT BERTUMBUH
Karena pertumbuhan bisnis yang berkelanjutan tidak hanya ditentukan oleh strategi. Tetapi juga oleh kualitas orang-orang yang menjalankannya.","Menurut Anda, mana yang lebih sulit:
meningkatkan omzet atau mengembangkan tim?",Selesai,Published,https://canva.link/zvid8z2wn51fm37,,2026-06-15,460,3,0,0,0
d23e316b-92f1-492a-a4f2-761c63f55ca3,Hafara Group,Ngajarin Gen Z biar tetep fokus pas dibrief,,Hey hey fokus dulu,Selesai,Published,https://www.instagram.com/p/DZHjY1aP1D5/,,2026-06-03,378,15,12,0,4
41913252-a14d-4568-a8ac-8301b004ec12,Hafara Group,POV : Boss happy ngeliat teamwork karyawannya ,,,Selesai,Published,https://www.instagram.com/p/DZMso2LhnJH/,,2026-06-05,2009,34,10,0,4
5196ecf1-eeb1-4c7c-85a1-e49ee6602e67,Hafara Group,Perbedaan Perusahaan yang pakai Konsultan SDM VS tidak,"❌ Tanpa Consultant :
- Tidak ada sistem pengembangan SDM
- Produktivitas tim stagnan tiap tahun
- Turnover karyawan tinggi & mahal
- Target perusahaan sering meleset


✅ Dengan Consultant :
- Ada roadmap pengembangan SDM yang jelas
- Produktivitas tim terus meningkat terukur
- Budaya kerja sehat & produktif
- Target tercapai karena tim yang kuat",,Selesai,Published,https://www.instagram.com/p/DZXCCCcPYRG/,,2026-06-09,61,40,0,0,0
